"Name","ID","Version","Vendor","InstallDate"
"Python 3.9.5 Development Libraries (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"blender",,"4.1.1","Blender Foundation","20240627"
"DaVinci Resolve",,"18.6.50007","Blackmagic Design","20240223"
"Python 3.9.5 Standard Library (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Python 3.9.5 Add to Path (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Python 3.9.5 Executables (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Python 3.9.5 Utility Scripts (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Python 3.9.5 Tcl/Tk Support (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"NumWorks USB Driver",,"1.1.0.0","NumWorks","20211017"
"Python 3.9.5 Test Suite (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Python 3.9.5 Documentation (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Python 3.9.5 pip Bootstrap (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Python 3.9.5 Core Interpreter (64-bit)",,"3.9.5150.0","Python Software Foundation","20210614"
"Office 16 Click-to-Run Extensibility Component",,"16.0.18827.20102","Microsoft Corporation","20250603"
"Office 16 Click-to-Run Localization Component",,"16.0.18827.20102","Microsoft Corporation","20250603"
"Office 16 Click-to-Run Licensing Component",,"16.0.18827.20150","Microsoft Corporation","20250615"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)",,"72.48.34242","Microsoft Corporation","20250610"
"Microsoft ASP.NET Core 9.0.6 Targeting Pack (x64)",,"9.0.6.25267","Microsoft Corporation","20250610"
"Node.js",,"18.14.0","Node.js Foundation","20230216"
"Microsoft .NET Runtime - 6.0.29 (x64)",,"48.116.12053","Microsoft Corporation","20240409"
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)",,"9.0.14","Microsoft Corporation","20250415"
"Microsoft.NET.Runtime.Emscripten.Sdk (x64)",,"9.0.4.0","Microsoft Corporation","20250415"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)",,"18.4.9288","Microsoft Corporation","20250415"
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)",,"9.0.4.0","Microsoft Corporation","20250416"
"Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)",,"8.0.15.0","Microsoft Corporation","20250416"
"Oracle VM VirtualBox 7.0.20",,"7.0.20","Oracle and/or its affiliates","20240913"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219",,"10.0.40219","Microsoft Corporation","20221113"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)",,"72.48.34242","Microsoft Corporation","20250610"
"Microsoft .NET Host FX Resolver - 6.0.28 (x64)",,"48.112.10439","Microsoft Corporation","20240313"
"Microsoft .NET Runtime - 5.0.13 (x64)",,"40.52.30715","Microsoft Corporation","20211224"
