"DeviceName","DriverVersion","Manufacturer","Date"
"Local Print Queue","10.0.26100.1","Microsoft",
"Local Print Queue","10.0.26100.1","Microsoft",
"Local Print Queue","10.0.26100.1","Microsoft",
"Local Print Queue","10.0.26100.1","Microsoft",
"Local Print Queue","10.0.26100.1","Microsoft",
"Local Print Queue","10.0.26100.1","Microsoft",
"Xvdd SCSI Miniport","10.0.22021.0","Xbox",
"WAN Miniport (Network Monitor)","10.0.26100.1","Microsoft",
"WAN Miniport (IPv6)","10.0.26100.1","Microsoft",
"WAN Miniport (IP)","10.0.26100.1","Microsoft",
"WAN Miniport (PPPOE)","10.0.26100.1","Microsoft",
"WAN Miniport (PPTP)","10.0.26100.1","Microsoft",
"WAN Miniport (L2TP)","10.0.26100.1","Microsoft",
"WAN Miniport (IKEv2)","10.0.26100.1","Microsoft",
"WAN Miniport (SSTP)","10.0.26100.1","Microsoft",
"Generic software device","10.0.26100.1","Microsoft",
"Local Print Queue","10.0.26100.1","Microsoft",
"Microsoft IPP Class Driver","10.0.26100.1","Microsoft",
"Canon MB2100 series","10.0.26100.1","Microsoft",
"Canon MB2100 series","10.0.26100.1","Microsoft",
"Generic software device","10.0.26100.1","Microsoft",
"Generic software device","10.0.26100.1","Microsoft",
"Generic software device","10.0.26100.1","Microsoft",
"Generic software device","10.0.26100.1","Microsoft",
"Generic software device","10.0.26100.1","Microsoft",
"Computer Device","10.0.26100.1","Microsoft",
"Remote Desktop Device Redirector Bus","10.0.26100.1150","Microsoft",
"HidGuardian Virtual Device","1.5.10.0","Benjamin H?glinger-Stelzer",
"Nefarius Virtual Gamepad Emulation Bus","1.17.333.0","Nefarius Software Solutions e.U.",
"Scp Virtual Bus Driver","1.0.0.103","Scarlet.Crush Productions",
"Microsoft Streaming Service Proxy","10.0.26100.1","Microsoft",
"Plug and Play Software Device Enumerator","10.0.26100.4202","(Standard system devices)",
"Microsoft System Management BIOS Driver","10.0.26100.1","(Standard system devices)",
"NDIS Virtual Network Adapter Enumerator","10.0.26100.1","Microsoft",
"NVIDIA Virtual Audio Device (Wave Extensible) (WDM)","4.39.0.0","Microsoft",
"Microsoft Hyper-V Virtual Disk Server","10.0.26100.3323","Microsoft",
"VMware VMCI Host Device","9.8.18.0","VMware, Inc.",
"Microsoft Basic Render Driver","10.0.26100.1150","Microsoft",
"Microsoft Hyper-V PCI Server","10.0.26100.3037","Microsoft",
"System Firmware","15.43.0.0","HP Inc.",
"Microsoft UEFI-Compliant System","10.0.26100.1150","Microsoft",
"ACPI Fixed Feature Button","10.0.26100.1150","(Standard system devices)",
"ACPI Thermal Zone","10.0.26100.1150","(Standard system devices)",
"ACPI Thermal Zone","10.0.26100.1150","(Standard system devices)",
"ACPI Fan","10.0.26100.1150","(Standard system devices)",
"ACPI Fan","10.0.26100.1150","(Standard system devices)",
"ACPI Fan","10.0.26100.1150","(Standard system devices)",
"ACPI Fan","10.0.26100.1150","(Standard system devices)",
"ACPI Fan","10.0.26100.1150","(Standard system devices)",
"HP Omen Driver Component","1.0.832.0","HP",
"Virtual Gamepad Emulation Bus","1.14.3.4","HP Inc",
"HP Omen Driver","1.0.704.0","HP",
"HP Insights Analytics","4.2.2439.0","HP",
"HP Application Driver Component","1.78.4195.0","HP",
"HP Application Driver","1.66.3710.0","HP",
"Motherboard resources","10.0.26100.1150","(Standard system devices)",
"Microsoft Windows Management Interface for ACPI","10.0.26100.1150","Microsoft",
"Trusted Platform Module 2.0","10.0.26100.4202","(Standard)",
"UCM-UCSI ACPI Device","10.0.26100.1882","Microsoft",
"Intel(R) Dynamic Tuning Generic Participant","8.7.10700.22502","Intel",
"Intel(R) Dynamic Tuning Generic Participant","8.7.10700.22502","Intel",
"Intel(R) Dynamic Tuning Generic Participant","8.7.10700.22502","Intel",
"Intel(R) Dynamic Tuning Manager","8.7.10700.22502","Intel",
"HID-compliant wireless radio controls","10.0.26100.4202","(Standard system devices)",
"HP Wireless Button Driver","2.1.17.3","HP Inc.",
"ACPI Power Button","10.0.26100.1150","(Standard system devices)",
"Intel(R) Power Engine Plug-in","10.0.26100.4202","Intel Corporation",
"Microsoft Windows Management Interface for ACPI","10.0.26100.1150","Microsoft",
"Microsoft Windows Management Interface for ACPI","10.0.26100.1150","Microsoft",
"ACPI Processor Aggregator","10.0.26100.1150","(Standard system devices)",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"Intel(R) XTU Component Device","7.9.1.3","Intel",
"Intel Processor","10.0.26100.4202","Intel",
"HP Mobile Data Protection Sensor","7.0.22.3","HP Inc.",
"Microsoft Windows Management Interface for ACPI","10.0.26100.1150","Microsoft",
"Motherboard resources","10.0.26100.1150","(Standard system devices)",
"ACPI Wake Alarm","10.0.26100.1150","(Standard system devices)",
"Microsoft Windows Management Interface for ACPI","10.0.26100.1150","Microsoft",
"Microsoft Windows Management Interface for ACPI","10.0.26100.1150","Microsoft",
"Motherboard resources","10.0.26100.1150","(Standard system devices)",
"Intel(R) Serial IO GPIO Host Controller - INT3450","30.100.2132.2","Intel Corporation",
"Motherboard resources","10.0.26100.1150","(Standard system devices)",
"Motherboard resources","10.0.26100.1150","(Standard system devices)",
"Motherboard resources","10.0.26100.1150","(Standard system devices)",
"Intel(R) SPI (flash) Controller - 06A4","10.1.31.2","INTEL",
"Intel(R) SMBus - 06A3","10.1.31.2","INTEL",
"Intel(R) Display Audio","10.27.0.14","Intel(R) Corporation",
"Audio Endpoint","10.0.26100.1","Microsoft",
"Audio Endpoint","10.0.26100.1","Microsoft",
"Sound Research Audio Effects Component","2.0.10.60","Microsoft",
"Realtek Audio Universal Service","1.0.0.495","Realtek",
"Realtek Audio Effects Component","11.0.6000.1024","Realtek",
"HP Audio Hardware Support Application","11.0.6000.264","Realtek",
"Realtek High Definition Audio","6.0.9313.1","Microsoft",
"High Definition Audio Controller","10.0.26100.4202","Microsoft",
"ACPI Lid","10.0.26100.1150","(Standard system devices)",
"Microsoft AC Adapter","10.0.26100.4202","Microsoft",
"Microsoft ACPI-Compliant Control Method Battery","10.0.26100.4202","Microsoft",
"Microsoft ACPI-Compliant Embedded Controller","10.0.26100.1150","(Standard system devices)",
"Standard PS/2 Keyboard","10.0.26100.1882","(Standard keyboards)",
"Intel(R) Watchdog Timer Driver (Intel(R) WDT)","11.7.0.1006","Intel",
"System timer","10.0.26100.1150","(Standard system devices)",
"Motherboard resources","10.0.26100.1150","(Standard system devices)",
"Numeric data processor","10.0.26100.1150","(Standard system devices)",
"Programmable interrupt controller","10.0.26100.1150","(Standard system devices)",
